S.No,Text,,,,,,,,,,,,,,,,,,,,,
1,"Hello Sir,
Jaha tak mai janta hu, ye desh mitti ka desh hai, jise bharat mata kehte hai, Maa bharti keh iski puja karte hai, Aap bi yhi mante hai.
Yah hamara Bharat desh hai naa, fir iske do alag alag naam kyu hai. English me India or Hindi me Bharat, ham apne desh me to proud se bharat mata ki jai bol dete hai par, videsh me kya India mata ki jai bole.
Yha tak ki pakistan ka vi sirf ek naam hai Pakistan hai.
Anya desh ke bi ek hi naam hai.
Ham aaj bi angrejo ki dharohar ko kyu dho rhe hai.",,,,,,,,,,,,,,,,,,,,,
2,"Dear Modiji,
kal Maharashtra assembly me ek kisan Minister ko milane ke liye ruka tha wo madat mangane ke liye aya tha ""jo abhi ayi baarish/garpit mein jo nukasan hua usake liye"" security guard ne use munh se khun nikalne tak mara kyu ki wah bola mein sahab ki raah yahi dekhunga , modiji kya yah bartav thik hai?
Kya isse nayi pidhi kheti ki taraf mudegi?
Apka priy kisanputra",,,,,,,,,,,,,,,,,,,,,
3,"Hello Sir,
Jaha tak mai janta hu, ye desh mitti ka desh hai, jise bharat mata kehte hai, Maa bharti keh iski puja karte hai, Aap bi yhi mante hai.
Yah hamara Bharat desh hai naa, fir iske do alag alag naam kyu hai. English me India or Hindi me Bharat, ham apne desh me to proud se bharat mata ki jai bol dete hai par, videsh me kya India mata ki jai bole.
Yha tak ki pakistan ka vi sirf ek naam hai Pakistan hai.
Anya desh ke bi ek hi naam hai.
Ham aaj bi angrejo ki dharohar ko kyu dho rahe hai",,,,,,,,,,,,,,,,,,,,,
4,A free FM radio channel for announcing ambulance information to establish a clear path in advance.,,,,,,,,,,,,,,,,,,,,,
5,"Respected Sir,",,,,,,,,,,,,,,,,,,,,,
6,"Dear PM Sir,
Subject: Benefit of Govt schems should reach directly to an individual on the basis their identity like Aadhar Card.
As an example I came to know that Govt encouraging for ""jaivik khad"" production and assigning handsome funds to one center in a region. But this financial help should be distributed to an individual farmer on the basis of his identity.Otherwise center will be misuse the benefits from Govt.
Gas subsidy in individual account is one the best example of this",,,,,,,,,,,,,,,,,,,,,
7,"Good morning sir,  Recently we have heard some the forest fires in Talangana and Karnataka, the wealth of the nation is going in fire.
We may also loose some of the special animals life too.
From this I request, please say few words about of saving our forest Wealth and also announce make INDIA Green",,,,,,,,,,,,,,,,,,,,,
8,"Respected PM Sir, I am from Varanasi Moksha City and around 100,000 dead bodies are cremated every year. It consumes 32,000 Ton of wood & 25,000 trees every year. I have solution for this and made wood from cow dung/agriculture waste which has have 2 times more calorific value & very cheap  . this has been trialed also. We can save at least 25,000 trees per year in Varanasi alone and 60 Lakh trees per year in India. It will( making cow dung wood) also generate employment for rural people",,,,,,,,,,,,,,,,,,,,,
9,"Respected sir
Mene Kal news channel PE dekha ki some em Muslim ladki ko uski MBA  study me lite educational loan ke liye uski sahayta ki...Sirji we prooud of you....Bahut hi acha laga ki ek prime Minister itni choti so bat me dilchaspi leke problem solved karte he.
Nilesh Trivedi
Kapadwanj",,,,,,,,,,,,,,,,,,,,,
10,"Dear Modi Sir,
Romeo squad is a great initiative to control eveteasing which is a big problem all over the country. However their is a big flaw in how it's being implemented. A lot of couples who are in love are getting mistreated. There should be no problem in couples hugging or holding hands in public, I think our nation needs to grow and start accepting this. In order to tackle Romeos, female cops should get dressed in western clothing and roam the streets to catch the real roadside Romeos.",,,,,,,,,,,,,,,,,,,,,
1,"Hello Sir,
   Jaha tak mai janta hu, ye desh mitti ka desh hai, jise bharat mata kehte hai, Maa bharti keh iski puja karte hai, Aap bi yhi mante hai.
      Yah hamara Bharat desh hai naa, fir iske do alag alag naam kyu hai. English me India or Hindi me Bharat, ham apne desh me to proud se bharat mata ki jai bol dete hai par, videsh me kya India mata ki jai bole.
Yha tak ki pakistan ka vi sirf ek naam hai Pakistan hai.
Anya desh ke bi ek hi naam hai.
Ham aaj bi angrejo ki dharohar ko kyu dho",,,,,,,,,,,,,,,,,,,,,
2,"Dear PM, I go straight to the point.. to curb the unaccounted money accumulation, please make it compulsory that all the education institutions accept the fee via recorded mode and they must and should display the fee details in their web-site. I am from Telangana, i see there are many schools their charge hefty fee and do not give any receipt for the same. Its same in most part of the country. We see you are trying hard, please also make it easy and time-bound for the Govt services. Thanks",,,,,,,,,,,,,,,,,,,,,
3,"My Beloved PM Shri Narendra Modiji.My name is Praveen Nyak . Sir I request u to Advice National Highway Authority & Forest Dept to Plant Trees on Highway road side  ( Green Highway )so that we can control the Highway pollution.
JAI HIND . Vande Mataram",,,,,,,,,,,,,,,,,,,,,
4,"Recently visited AUS & was impressed by the daily commute.1 card for everything.Rechargeable by cash/card at shop/station/online.App integrated with transport system to plan day ahead(train/bus/ferry).Buzzer traffic light for pedestrian to cross on zebra,fine levy for noncompliance.We are too many with places to go,but no time.Sir!Please initiate a revolution like Swach Bharat on daily commute for people on wheels & foot.Parking,lanes,high beam,respect for public property & each other & patience",,,,,,,,,,,,,,,,,,,,,
5,"Improvement of railway stations all over India. Full lentgh platforms(24 car) with sun roof, fans, drinking water, pay & use toilets etc.. Passengers are suffering a lot during monsoon & summer seasons for catching trains especially long distance journeys. Improving pantry services, proviing pantry car for all trians,cleaning of platforms atleast main stations.",,,,,,,,,,,,,,,,,,,,,
6,"My name is Kapil Kachhwaha from Jodhpur,
Its the month of march exam time but it's fun.
The real chase starts when they are well qualified and do not get the jobs.
We have a hug army of well qualified graduates migrated to Bangalore, Pune, Ahmadabad, Chandigarh, mumbai to find jobs because in Rajasthan we don't have enough Industries. We have lands, water, solar energy, labours etc. Still we lack Industries.
So please help us. We'd given vote for your BJP as major party.",,,,,,,,,,,,,,,,,,,,,
7,Sir I have seen in the railway journey that maximum garbage is dumped beside the railway track so I request you sir to keep the dustbins in the coaches of train so the people will not throw their waste outside,,,,,,,,,,,,,,,,,,,,,
8,"Sirs
All the time i am saying give priority of raiding all the houses of CLASS ONE officers .most of the illegal money is there and thay are the prime pillars for corruption and other activities in india 60 %of tem are corrupt .
Make a programme for all the educated class of india appoint them as special officers and pay them less salary and more commision on raids they do and then see our india ",,,,,,,,,,,,,,,,,,,,,
9,Waste in water will get cleaned if there is enough oxygen in the water.  There should be enough oxygen in the water to meet the Chemical Oxygen Demand of the waste present in the water.  Can we mix more air into the water by using the force of the flowing water and the rotating drums. These drums use the power of the water flow and work 24x7.  Has simple design  requires minimal maintenance and works continuously to add more and more oxygen to water.,,,,,,,,,,,,,,,,,,,,,
10,Can scientists come up with an idea to mix some magnetic material into plastic so that they can be easily picked using a strong magnet at waste sorting centres? The material mixed with plastic should not badly affect the health of plants and animals. If we can come up with such a solution it will help keep India swatch and also export this technology to other countries.,,,,,,,,,,,,,,,,,,,,,
1,"Dar k padhenge to kya padhenge. Q & A rat te hai 90% student gyan nahi aata kyonki fail hone ka dar, gharwalo ka pressure, samaj ka pressure dusre k baccho se tulna. Har kisi k pass kuch na kuch kala hoti hai par woh hum samajhte nahi because of dar. Sir likhne k liye bahut kuch hai. Apse request hai ki aage se apki mun ki baat ka agenda pata chal jaaye to hum subjective rahein or ek ek kar k samsyaon ki brain storming ho. Maafi chahunga agar kuch galat likh dia ho to.",,,,,,,,,,,,,,,,,,,,,
2,"Mai AIR ki sarhana karta hun ki unhone regional languages mein prasaran suru kia! par ek bhasa aisi honi chaiye jo sab bolein. woh chahe koi bhi ho Hindi, tamil, telugu, kannad, punjabi, south ka aadmi agar north mein khada ho to usko nahi lagna chahiye ki woh videsh mein hai or vice versa. Exams ki baat kahi aapne hum log padhte hai ek dar k saaye mein padhoge nahi to naukri nahi milegi, english nahi bologe to kuch nahi kar paoge, grades % nahi hogi to acche college mein admission nahi hoga.",,,,,,,,,,,,,,,,,,,,,
3,"Respected Mr. Prime Minister, I would like to tell you my concern towards the use of Smartphones, people respect you a lot and they will listen to you. I would like to bring the usage of mobile phones wearing earphones, while driving, walking on the street looking at the phone, which create a problem for commuters on the road. There are so many cases where the persons died while crossing road, rail crossing while using the mobile phones wearing earphones. I request you to take up this issue.",,,,,,,,,,,,,,,,,,,,,
